,0,1,2,3
653,0.0,0.602,88.0,3.13
654,0.0,0.11,2.0,0.45
655,0.0,0.278,15.0,4.51
656,0.0,0.326,189.0,4.4
657,0.0,0.11,2.0,0.45
658,0.0,0.251,14.0,0.0
659,2.0,0.536,90.0,5.82
660,0.0,0.3,17.0,0.0
661,0.0,0.11,2.0,0.45
662,0.0,0.602,88.0,3.13
663,4.0,0.1,1.0,1.0
664,2.0,0.59,69.0,3.54
665,0.0,0.11,2.0,0.45
666,3.0,0.247,46.0,1.82
667,0.0,0.11,2.0,0.45
668,0.0,0.11,2.0,0.45
669,1.0,0.587,127.0,4.48
670,0.0,0.232,4.0,1.07
671,0.0,0.834,24.0,0.0
672,1.0,1.603,120.0,10.37
673,1.0,2.058,188.0,11.64
674,0.0,0.11,2.0,0.45
675,0.0,0.326,189.0,4.4
676,0.0,0.11,2.0,0.45
677,2.0,0.379,27.0,4.42
678,1.0,3.073,144.0,8.32
679,0.0,0.129,3.0,0.0
680,1.0,2.108,178.0,7.83
681,0.0,0.208,8.0,2.16
682,0.0,0.469,24.0,8.48
683,2.0,0.372,142.0,1.67
684,0.0,0.469,24.0,8.48
685,1.0,3.259,364.0,6.82
686,3.0,0.222,4.0,1.28
687,0.0,0.469,24.0,8.48
688,0.0,0.602,88.0,3.13
689,4.0,0.21,58.0,0.77
690,3.0,0.193,14.0,0.43
691,0.0,0.258,12.0,0.0
692,0.0,4.392,1.0,0.0
693,0.0,0.309,10.0,0.0
694,4.0,0.21,58.0,0.77
695,0.0,0.126,7.0,1.21
696,2.0,0.379,27.0,4.42
697,0.0,0.123,11.0,1.02
698,0.0,0.11,2.0,0.45
699,1.0,0.909,88.0,2.95
700,0.0,1.122,96.0,7.95
701,0.0,0.782,24.0,0.0
702,1.0,3.501,109.0,8.55
703,2.0,0.379,27.0,4.42
704,0.0,0.602,88.0,3.13
705,0.0,0.11,2.0,0.45
706,0.0,0.314,86.0,3.4
707,1.0,1.133,75.0,4.48
708,1.0,2.565,64.0,6.1
709,1.0,1.614,150.0,4.69
710,1.0,1.567,208.0,3.51
711,0.0,1.0,2.0,0.0
712,1.0,1.085,143.0,7.08
713,0.0,0.546,163.0,4.65
714,2.0,0.668,34.0,3.71
715,1.0,0.686,92.0,3.54
716,1.0,1.094,94.0,4.48
717,1.0,0.948,115.0,5.19
718,1.0,0.808,118.0,4.72
719,0.0,0.184,12.0,0.0
720,1.0,1.093,115.0,2.14
721,1.0,0.672,83.0,7.1
722,0.0,0.279,30.0,0.0
723,2.0,0.416,88.0,2.87
724,0.0,0.108,3.0,0.54
725,0.0,0.123,11.0,1.02
726,0.0,0.105,2.0,0.38
727,0.0,0.11,2.0,0.45
728,0.0,0.11,2.0,0.45
729,0.0,0.11,2.0,0.45
730,0.0,0.212,8.0,0.0
731,0.0,0.153,10.0,0.0
732,0.0,0.11,2.0,0.45
733,4.0,0.21,58.0,0.77
734,4.0,0.21,58.0,0.77
735,4.0,0.21,58.0,0.77
736,0.0,0.216,5.0,1.65
737,0.0,0.469,24.0,8.48
738,0.0,0.201,8.0,0.0
739,0.0,0.35,13.0,0.0
740,0.0,0.279,30.0,0.0
741,4.0,0.21,58.0,0.77
742,0.0,0.185,20.0,0.56
743,0.0,0.142,5.0,0.0
744,0.0,0.782,27.0,5.79
745,0.0,0.241,13.0,2.91
746,0.0,0.812,18.0,0.0
747,4.0,0.21,58.0,0.77
748,0.0,0.255,14.0,2.24
749,0.0,0.11,2.0,0.45
750,0.0,0.147,5.0,1.05
751,0.0,0.3,17.0,0.0
752,0.0,0.11,2.0,0.45
753,0.0,1.0,2.0,0.0
754,2.0,0.379,27.0,4.42
755,0.0,0.602,88.0,3.13
756,0.0,0.314,86.0,3.4
757,0.0,0.3,17.0,0.0
758,0.0,0.154,7.0,0.0
759,0.0,0.11,2.0,0.45
760,0.0,0.153,10.0,0.0
761,0.0,0.11,2.0,0.45
762,0.0,0.279,30.0,0.0
763,4.0,0.1,1.0,1.0
764,0.0,0.251,14.0,0.0
765,0.0,0.358,21.0,0.0
766,0.0,0.11,2.0,0.45
767,0.0,0.141,7.0,1.27
768,0.0,0.279,30.0,0.0
769,0.0,0.512,37.0,0.0
770,3.0,0.247,46.0,1.82
771,3.0,0.199,5.0,2.09
772,0.0,0.251,14.0,0.0
773,0.0,0.251,14.0,0.0
